Linux 3.10.0-229.el7.x86_64 (rhel7-23.in.ibm.com) 	11/10/2015 	_x86_64_	(24 CPU)

08:44:36 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
08:44:51 PM      eth0     32.00     33.00      6.11      7.70      0.00      0.00      0.00
08:44:51 PM      eth1      8.00     12.00      0.47      0.93      0.00      0.00      9.00
08:44:51 PM      eth2      7.00      0.00      0.41      0.00      0.00      0.00      0.00
08:44:51 PM      eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:51 PM      eth4      7.00      0.00      0.41      0.00      0.00      0.00      0.00
08:44:51 PM      eth5      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:51 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:51 PM     br-ex     20.00      0.00      1.41      0.00      0.00      0.00      0.00

08:44:51 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
08:44:52 PM      usb0      1.00      1.00      0.08      0.10      0.00      0.00      0.00
08:44:52 PM ovs-system      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:52 PM    br-int     10.00      0.00      0.87      0.00      0.00      0.00      0.00
08:44:52 PM    br-tun      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:52 PM      eth0     55.00     61.00     11.72     14.00      0.00      0.00      0.00
08:44:52 PM      eth1      8.00     10.00      0.47      0.80      0.00      0.00      0.00
08:44:52 PM      eth2      6.00      0.00      0.35      0.00      0.00      0.00      0.00
08:44:52 PM      eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:52 PM      eth4      6.00      0.00      0.35      0.00      0.00      0.00      0.00
08:44:52 PM      eth5      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:52 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:52 PM     br-ex     18.00      0.00      1.28      0.00      0.00      0.00      0.00

08:44:52 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
08:44:53 PM      usb0      1.00      1.00      0.08      0.10      0.00      0.00      0.00
08:44:53 PM ovs-system      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:53 PM    br-int      3.00      0.00      0.20      0.00      0.00      0.00      0.00
08:44:53 PM    br-tun      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:53 PM      eth0     45.00     44.00     10.76     10.72      0.00      0.00      0.00
08:44:53 PM      eth1      9.00      6.00      0.70      0.50      0.00      0.00      7.00
08:44:53 PM      eth2      5.00      0.00      0.29      0.00      0.00      0.00      0.00
08:44:53 PM      eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:53 PM      eth4      6.00      0.00      0.41      0.00      0.00      0.00      1.00
08:44:53 PM      eth5      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:53 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
