Linux 3.10.0-229.el7.x86_64 (rhel7-23.in.ibm.com) 	11/10/2015 	_x86_64_	(24 CPU)

09:51:54 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
09:52:08 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
09:52:09 PM      usb0      1.00      1.00      0.08      0.10      0.00      0.00      0.00
09:52:09 PM ovs-system      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:09 PM    br-int     33.00      0.00      2.96      0.00      0.00      0.00      0.00
09:52:09 PM    br-tun      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:09 PM      eth0     93.00     94.00     25.89     21.26      0.00      0.00      1.00
09:52:09 PM      eth1     11.00     32.00      1.20      2.64      0.00      0.00      7.00
09:52:09 PM      eth2     14.00      0.00      0.82      0.00      0.00      0.00      0.00
09:52:09 PM      eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:09 PM      eth4     14.00      0.00      0.82      0.00      0.00      0.00      0.00
09:52:09 PM      eth5      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:09 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:09 PM     br-ex     43.00      0.00      3.84      0.00      0.00      0.00      0.00
09:52:09 PM tapac56a218-2a      3.00      0.00      0.30      0.00      0.00      0.00      0.00

09:52:09 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
09:52:10 PM      usb0      1.00      1.00      0.08      0.10      0.00      0.00      0.00
09:52:10 PM ovs-system      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:10 PM    br-int     11.00      0.00      0.79      0.00      0.00      0.00      0.00
09:52:10 PM    br-tun      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:10 PM      eth0     81.00     83.00     20.76     18.77      0.00      0.00      0.00
09:52:10 PM      eth1      9.00     28.00      1.11      2.37      0.00      0.00      0.00
09:52:10 PM      eth2     10.00      0.00      0.59      0.00      0.00      0.00      0.00
09:52:10 PM      eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:10 PM      eth4     10.00      0.00      0.59      0.00      0.00      0.00      0.00
09:52:10 PM      eth5      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:10 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:10 PM     br-ex     37.00      0.00      3.48      0.00      0.00      0.00      0.00

09:52:10 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
09:52:11 PM      usb0      1.00      1.00      0.08      0.10      0.00      0.00      0.00
09:52:11 PM qr-1d2df9dc-f1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:11 PM qg-a74e48ea-0f      1.00      0.00      0.06      0.00      0.00      0.00      0.00
09:52:11 PM ovs-system      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:11 PM    br-int 126855.00      0.00 3426912.20      0.00      0.00      0.00      0.00
09:52:11 PM    br-tun      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:11 PM      eth0 758196940.00 3269659424.00 946790170.06 4462671888.01      0.00      0.00    734.00
09:52:11 PM      eth1 4493536259.00 1413079002.00 5782962034.67 1775587200.18      0.00      0.00 358858.00
09:52:11 PM      eth2 467972.00      0.00  27630.53      0.00      0.00      0.00     24.00
09:52:11 PM      eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:11 PM      eth4 542503.00  83045.00  33072.30  14566.13      0.00      0.00    809.00
09:52:11 PM      eth5      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:11 PM        lo 902259.00 902259.00  46998.76  46998.76      0.00      0.00      0.00
09:52:11 PM     br-ex 1037858.00 235479.00 11320149.83  17474.39      0.00      0.00      0.00

09:52:11 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
09:52:12 PM      usb0      1.00      1.00      0.08      0.10      0.00      0.00      0.00
09:52:12 PM qg-fb557b7a-3d      0.00      0.00      0.00      0.00      0.00      0.00      0.00
